course_id,skill_id,score,matched_by
udemy1_41187,esco_1921,1.1333,embedding+keyword
udemy2_2988188,esco_224,1.1193,embedding+keyword
udemy2_62109,esco_174,1.1187,embedding+keyword
udemy2_1213886,esco_174,1.1129,embedding
udemy2_2351080,esco_174,1.1127,embedding+keyword
udemy2_2459098,esco_224,1.0997,embedding+keyword
udemy2_1991582,esco_224,1.0946,embedding+keyword
udemy2_119866,esco_174,1.0925,embedding+keyword
udemy2_1495368,esco_174,1.0922,embedding+keyword
udemy2_2932078,esco_1843,1.0898,embedding+keyword
udemy2_3050300,esco_1582,1.0869,embedding+keyword
udemy2_3051270,esco_1582,1.0839,embedding+keyword
udemy2_2435072,esco_1582,1.0832,embedding+keyword
udemy1_41168,esco_379,1.0827,embedding+keyword
udemy2_2555296,esco_1455,1.0818,embedding+keyword
udemy2_342418,esco_1691,1.0803,embedding+keyword
udemy2_1929864,esco_224,1.0797,embedding+keyword
udemy1_2517,esco_126,1.0774,embedding+keyword
udemy1_38449,esco_737,1.077,embedding+keyword
udemy2_1355010,esco_224,1.0765,embedding+keyword
udemy2_3290690,esco_1582,1.074,embedding+keyword
udemy1_658,esco_126,1.0738,embedding+keyword
udemy2_1488408,esco_494,1.0733,embedding+keyword
udemy2_1354978,esco_224,1.0688,embedding+keyword
udemy2_2206234,esco_491,1.0684,embedding+keyword
udemy2_3006460,esco_224,1.065,embedding+keyword
udemy1_3093,esco_126,1.0628,embedding+keyword
udemy2_2948266,esco_1582,1.0622,embedding+keyword
udemy2_144900,esco_1151,1.0608,embedding
udemy1_42366,esco_903,1.0596,embedding+keyword
udemy1_19806,esco_626,1.0592,embedding
udemy2_2157754,esco_494,1.0572,embedding+keyword
udemy2_787220,esco_1628,1.0561,embedding
udemy2_3132378,esco_510,1.0543,embedding+keyword
udemy1_293,esco_126,1.0534,embedding+keyword
udemy1_7914,esco_1582,1.0529,embedding+keyword
udemy1_36477,esco_903,1.0524,embedding+keyword
udemy2_2951660,esco_1582,1.0507,embedding+keyword
udemy2_3321604,esco_1843,1.0503,embedding+keyword
udemy1_7042,esco_126,1.0467,embedding+keyword
udemy2_2561004,esco_107,1.0454,embedding+keyword
udemy1_42267,esco_737,1.0448,embedding
udemy2_2272642,esco_1843,1.0448,embedding+keyword
udemy1_2228,esco_604,1.0446,embedding
udemy1_20954,esco_758,1.0443,embedding
udemy2_692098,esco_510,1.0442,embedding+keyword
udemy2_2488444,esco_1455,1.0438,embedding+keyword
udemy2_1648422,esco_604,1.0436,embedding
udemy2_525156,esco_714,1.0434,embedding+keyword
udemy2_1698176,esco_1878,1.0422,embedding+keyword
udemy2_957616,esco_126,1.042,embedding+keyword
udemy2_407084,esco_714,1.0414,embedding+keyword
udemy1_8557,esco_126,1.0412,embedding+keyword
udemy2_892446,esco_817,1.04,embedding
udemy2_2521960,esco_491,1.0387,embedding+keyword
udemy2_2312596,esco_224,1.0387,embedding+keyword
udemy1_3383,esco_224,1.038,embedding+keyword
udemy1_8597,esco_156,1.0379,embedding+keyword
udemy1_3086,esco_224,1.0376,embedding+keyword
udemy1_20640,esco_1087,1.035,embedding
udemy2_2401116,esco_1582,1.0335,embedding+keyword
udemy1_1474,esco_1582,1.0332,embedding+keyword
udemy1_6936,esco_1344,1.0331,embedding
udemy1_39292,esco_1751,1.0329,embedding
udemy2_535698,esco_129,1.0328,embedding
udemy1_26338,esco_1023,1.0317,embedding+keyword
udemy2_2871148,esco_1582,1.0313,embedding+keyword
udemy1_3077,esco_129,1.0308,embedding+keyword
udemy1_7736,esco_224,1.0307,embedding+keyword
udemy2_2206234,esco_1248,1.0297,embedding
udemy2_1279138,esco_224,1.0297,embedding+keyword
udemy2_2613032,esco_1843,1.0296,embedding+keyword
udemy2_483114,esco_1582,1.0291,embedding+keyword
udemy1_2512,esco_224,1.0288,embedding+keyword
udemy2_1542464,esco_1483,1.0286,embedding+keyword
udemy2_2513350,esco_1582,1.0282,embedding+keyword
udemy2_616990,esco_1455,1.0269,embedding+keyword
udemy1_44057,esco_189,1.0267,embedding+keyword
udemy2_2760420,esco_1582,1.0265,embedding+keyword
udemy2_1866892,esco_1582,1.0262,embedding+keyword
udemy1_41565,esco_189,1.0262,embedding+keyword
udemy1_5196,esco_224,1.026,embedding+keyword
udemy1_5276,esco_224,1.0259,embedding+keyword
udemy1_4859,esco_224,1.0252,embedding+keyword
udemy1_119,esco_491,1.0251,embedding+keyword
udemy2_352378,esco_1582,1.025,embedding+keyword
udemy1_2175,esco_224,1.0249,embedding+keyword
udemy1_6367,esco_224,1.0248,embedding+keyword
udemy2_2551217,esco_1582,1.0243,embedding+keyword
udemy2_1877032,esco_1344,1.0243,embedding
udemy1_8744,esco_1582,1.0241,embedding+keyword
udemy1_742,esco_1582,1.0237,embedding+keyword
udemy2_1295244,esco_1582,1.0232,embedding+keyword
udemy2_2691384,esco_224,1.023,embedding+keyword
udemy1_7008,esco_1582,1.0226,embedding+keyword
udemy2_2840950,esco_310,1.0226,embedding
udemy2_341400,esco_1713,1.0225,embedding
udemy2_2261390,esco_604,1.0222,embedding
udemy2_1702570,esco_126,1.0218,embedding+keyword
udemy1_6597,esco_1878,1.0212,embedding+keyword
udemy2_2277331,esco_1691,1.0202,embedding
udemy1_9370,esco_1582,1.0201,embedding+keyword
udemy1_1038,esco_1582,1.0198,embedding+keyword
udemy2_2810657,esco_224,1.0197,embedding+keyword
udemy1_34866,esco_1222,1.019,embedding
udemy2_2259048,esco_1709,1.0187,embedding
udemy1_42528,esco_903,1.0185,embedding+keyword
udemy1_3295,esco_1582,1.0185,embedding+keyword
udemy2_1508854,esco_1291,1.0182,embedding
udemy2_1606126,esco_1878,1.0179,embedding+keyword
udemy2_3229723,esco_1582,1.0179,embedding+keyword
udemy1_2538,esco_1582,1.0178,embedding+keyword
udemy1_8949,esco_224,1.0177,embedding+keyword
udemy2_2166762,esco_224,1.0176,embedding+keyword
udemy1_8655,esco_1582,1.0175,embedding+keyword
udemy1_2040,esco_224,1.017,embedding+keyword
udemy2_2003336,esco_224,1.017,embedding+keyword
udemy2_2558974,esco_604,1.0169,embedding
udemy2_1749460,esco_891,1.0168,embedding+keyword
udemy2_991144,esco_604,1.0168,embedding
udemy1_37677,esco_70,1.0168,embedding+keyword
udemy2_1183250,esco_156,1.0161,embedding+keyword
udemy1_5617,esco_889,1.0161,embedding+keyword
udemy2_1634070,esco_224,1.0157,embedding+keyword
udemy2_1213886,esco_124,1.0154,embedding
udemy1_2256,esco_224,1.015,embedding+keyword
udemy1_42366,esco_307,1.0142,embedding
