esco_skill_id,esco_skill_label,onet_element_id,onet_element_name,onet_element_type,similarity,rank,confident
esco_0,literacy and numeracy,2.C.4.a,Mathematics,knowledge,0.5618957281112671,1,True
esco_0,literacy and numeracy,2.A.1.e,Mathematics,skill,0.528012752532959,2,True
esco_0,literacy and numeracy,1.A.1.c.2,Number Facility,ability,0.443168580532074,3,False
esco_1,education,2.C.6,Education and Training,knowledge,0.5805906653404236,1,True
esco_1,education,2.C.4.e,Psychology,knowledge,0.44292742013931274,2,False
esco_1,education,2.B.1.e,Instructing,skill,0.4361838698387146,3,False
esco_2,music and performing arts,2.C.7.c,Fine Arts,knowledge,0.43323349952697754,1,False
esco_2,music and performing arts,2.C.7.d,History and Archeology,knowledge,0.2730872929096222,2,False
esco_2,music and performing arts,2.C.3.a,Computers and Electronics,knowledge,0.2702676057815552,3,False
esco_3,languages,2.C.7.b,Foreign Language,knowledge,0.48859524726867676,1,True
esco_3,languages,2.B.3.e,Programming,skill,0.4440270960330963,2,False
esco_3,languages,2.C.7.a,English Language,knowledge,0.4370877742767334,3,False
esco_4,journalism and information,2.C.9.b,Communications and Media,knowledge,0.518124520778656,1,True
esco_4,journalism and information,2.A.1.c,Writing,skill,0.4153744578361511,2,False
esco_4,journalism and information,2.C.9.a,Telecommunications,knowledge,0.37454769015312195,3,False
esco_5,journalism and reporting,2.C.9.b,Communications and Media,knowledge,0.4638049602508545,1,True
esco_5,journalism and reporting,2.C.8.b,Law and Government,knowledge,0.3770650327205658,2,False
esco_5,journalism and reporting,2.C.4.f,Sociology and Anthropology,knowledge,0.3652915954589844,3,False
esco_6,accounting and taxation,2.C.1.c,Economics and Accounting,knowledge,0.5846236944198608,1,True
esco_6,accounting and taxation,2.B.5.b,Management of Financial Resources,skill,0.47522544860839844,2,True
esco_6,accounting and taxation,2.C.4.a,Mathematics,knowledge,0.388200044631958,3,False
esco_7,"finance, banking and insurance",2.C.1.c,Economics and Accounting,knowledge,0.4969298839569092,1,True
esco_7,"finance, banking and insurance",2.B.5.b,Management of Financial Resources,skill,0.3479269742965698,2,False
esco_7,"finance, banking and insurance",2.C.4.a,Mathematics,knowledge,0.30168262124061584,3,False
esco_8,management and administration,2.C.1.a,Administration and Management,knowledge,0.656721830368042,1,True
esco_8,management and administration,2.B.5.d,Management of Personnel Resources,skill,0.5537062883377075,2,True
esco_8,management and administration,2.C.1.f,Personnel and Human Resources,knowledge,0.5426740646362305,3,True
esco_9,marketing and advertising,2.C.1.d,Sales and Marketing,knowledge,0.5358704328536987,1,True
esco_9,marketing and advertising,2.C.2.a,Production and Processing,knowledge,0.3417761027812958,2,False
esco_9,marketing and advertising,2.C.1.e,Customer and Personal Service,knowledge,0.3327801823616028,3,False
esco_10,secretarial and office work,2.C.1.b,Administrative,knowledge,0.509701132774353,1,True
esco_10,secretarial and office work,2.C.1.f,Personnel and Human Resources,knowledge,0.47465527057647705,2,True
esco_10,secretarial and office work,2.B.5.d,Management of Personnel Resources,skill,0.4600096046924591,3,True
esco_11,wholesale and retail sales,2.C.1.d,Sales and Marketing,knowledge,0.520465612411499,1,True
