skill_id,esco_uri,skill_label,skill_alias,parent_1,parent_2,parent_3,parent_4,is_green,is_digital,is_language,is_research,demand_frequency,avg_fit_score
esco_0,http://data.europa.eu/esco/isced-f/0021,literacy and numeracy,,literacy and numeracy,generic programmes and qualifications,knowledge,,False,False,False,False,1,80.0
esco_1,http://data.europa.eu/esco/isced-f/011,education,,education,knowledge,,,False,False,False,False,7,71.42857142857143
esco_2,http://data.europa.eu/esco/isced-f/0215,music and performing arts,,arts,arts and humanities,knowledge,,False,False,False,False,3,86.66666666666667
esco_3,http://data.europa.eu/esco/isced-f/023,languages,,arts and humanities,knowledge,,,False,False,False,False,1,80.0
esco_4,http://data.europa.eu/esco/isced-f/032,journalism and information,,"social sciences, journalism and information",knowledge,,,False,False,False,False,1,80.0
esco_5,http://data.europa.eu/esco/isced-f/0321,journalism and reporting,,journalism and information,"social sciences, journalism and information",knowledge,,False,False,False,False,1,80.0
esco_6,http://data.europa.eu/esco/isced-f/0411,accounting and taxation,,business and administration,"business, administration and law",knowledge,,False,False,False,False,2,90.0
esco_7,http://data.europa.eu/esco/isced-f/0412,"finance, banking and insurance",,business and administration,"business, administration and law",knowledge,,False,False,False,False,1,80.0
esco_8,http://data.europa.eu/esco/isced-f/0413,management and administration,,business and administration,"business, administration and law",knowledge,,False,False,False,False,9,80.0
esco_9,http://data.europa.eu/esco/isced-f/0414,marketing and advertising,,business and administration,"business, administration and law",knowledge,,False,False,False,False,1,100.0
esco_10,http://data.europa.eu/esco/isced-f/0415,secretarial and office work,,business and administration,"business, administration and law",knowledge,,False,False,False,False,1,100.0
esco_11,http://data.europa.eu/esco/isced-f/0416,wholesale and retail sales,,business and administration,"business, administration and law",knowledge,,False,False,False,False,1,80.0
esco_12,http://data.europa.eu/esco/isced-f/042,law,,"business, administration and law",knowledge,,,False,False,False,False,2,100.0
esco_13,http://data.europa.eu/esco/isced-f/052,environment,,"natural sciences, mathematics and statistics",knowledge,,,False,False,False,False,1,80.0
esco_14,http://data.europa.eu/esco/isced-f/0521,environmental sciences,,environment,"natural sciences, mathematics and statistics",knowledge,,False,False,False,False,4,100.0
