technology,demand_count,demand_score
Python,785,1.0
NumPy,619,0.7885350318471338
Pandas,613,0.780891719745223
Scikit-Learn,587,0.7477707006369426
Torch/PyTorch,581,0.7401273885350318
Docker,474,0.6038216560509554
SQL,461,0.5872611464968153
Pip,449,0.5719745222929936
TensorFlow,376,0.4789808917197452
PostgreSQL,364,0.4636942675159236
Hugging Face Transformers,325,0.4140127388535032
Rust,269,0.34267515923566877
CUDA,266,0.33885350318471336
Keras,259,0.32993630573248406
Bash/Shell (all shells),248,0.3159235668789809
Kubernetes,236,0.3006369426751592
Opencv,223,0.2840764331210191
SQLite,216,0.2751592356687898
JavaScript,214,0.27261146496815286
R,208,0.26496815286624203
Apache Spark,208,0.26496815286624203
mlflow,193,0.24585987261146497
C++,180,0.22929936305732485
HTML/CSS,169,0.21528662420382166
MySQL,156,0.19872611464968154
MongoDB,144,0.18343949044585986
Go,143,0.1821656050955414
Make,136,0.1732484076433121
Homebrew,135,0.17197452229299362
BigQuery,132,0.1681528662420382
Tidyverse,122,0.1554140127388535
DuckDB,119,0.15159235668789808
JAX,117,0.14904458598726114
Apache Kafka,115,0.1464968152866242
Elasticsearch,114,0.14522292993630573
Redis,114,0.14522292993630573
Ruff,112,0.14267515923566879
Snowflake,110,0.14012738853503184
TypeScript,110,0.14012738853503184
C,108,0.1375796178343949
npm,108,0.1375796178343949
Databricks SQL,108,0.1375796178343949
Hadoop,105,0.1337579617834395
Julia,103,0.13121019108280255
Microsoft SQL Server,101,0.1286624203821656
Terraform,97,0.12356687898089172
APT,80,0.10191082802547771
Java,78,0.09936305732484077
Neo4J,69,0.08789808917197452
C#,68,0.08662420382165605
PowerShell,63,0.08025477707006369
RabbitMQ,60,0.07643312101910828
Scala,58,0.07388535031847134
Visual Studio Solution,55,0.07006369426751592
Ansible,52,0.06624203821656051
MariaDB,52,0.06624203821656051
Dynamodb,51,0.06496815286624204
Vite,49,0.062420382165605096
Kotlin,48,0.061146496815286625
Cassandra,47,0.05987261146496815
Qt,44,0.05605095541401274
Flutter,44,0.05605095541401274
Oracle,41,0.05222929936305733
Podman,40,0.050955414012738856
Haskell,39,0.049681528662420385
Dart,39,0.049681528662420385
OpenGL,39,0.049681528662420385
Pacman,38,0.048407643312101914
Yarn,37,0.04713375796178344
Clickhouse,36,0.045859872611464965
Lua,36,0.045859872611464965
Godot,35,0.044585987261146494
.NET (5+),35,0.044585987261146494
OpenCL,34,0.04331210191082802
Chocolatey,33,0.04203821656050955
Unreal Engine,32,0.04076433121019108
Zig,31,0.03949044585987261
React Native,31,0.03949044585987261
Maven (build tool),31,0.03949044585987261
Cloud Firestore,29,0.03694267515923567
MATLAB,29,0.03694267515923567
MicroPython,28,0.035668789808917196
Assembly,27,0.034394904458598725
Tauri,26,0.033121019108280254
Supabase,26,0.033121019108280254
Electron,26,0.033121019108280254
Swift,25,0.03184713375796178
Cosmos DB,25,0.03184713375796178
Google Test,25,0.03184713375796178
Firebase Realtime Database,24,0.030573248407643312
Unity 3D,24,0.030573248407643312
Elixir,24,0.030573248407643312
Bun,23,0.02929936305732484
Composer,22,0.02802547770700637
Spring Framework,22,0.02802547770700637
Presto,22,0.02802547770700637
PHP,21,0.0267515923566879
pnpm,21,0.0267515923566879
Gradle,21,0.0267515923566879
NuGet,21,0.0267515923566879
Webpack,21,0.0267515923566879
Lisp,20,0.025477707006369428
Ruby,20,0.025477707006369428
Cockroachdb,19,0.024203821656050957
Ninja,18,0.022929936305732482
Clojure,18,0.022929936305732482
SwiftUI,17,0.02165605095541401
InfluxDB,17,0.02165605095541401
Nix,16,0.02038216560509554
OCaml,16,0.02038216560509554
F#,15,0.01910828025477707
VBA,15,0.01910828025477707
Fortran,15,0.01910828025477707
DirectX,14,0.017834394904458598
GDScript,13,0.016560509554140127
.NET MAUI,13,0.016560509554140127
GTK,13,0.016560509554140127
Erlang,12,0.015286624203821656
.NET Framework (1.0 - 4.8),12,0.015286624203821656
MSBuild,12,0.015286624203821656
Pulumi,12,0.015286624203821656
Prolog,12,0.015286624203821656
Ada,12,0.015286624203821656
Solr,11,0.014012738853503185
Solidity,11,0.014012738853503185
Nim,10,0.012738853503184714
Groovy,10,0.012738853503184714
Delphi,10,0.012738853503184714
Perl,10,0.012738853503184714
Microsoft Access,10,0.012738853503184714
Couch DB,9,0.011464968152866241
Apex,9,0.011464968152866241
Couchbase,9,0.011464968152866241
Chef,8,0.01019108280254777
Dagger,8,0.01019108280254777
Firebird,8,0.01019108280254777
Visual Basic (.Net),8,0.01019108280254777
Puppet,8,0.01019108280254777
Datomic,7,0.008917197452229299
Cobol,7,0.008917197452229299
IBM DB2,7,0.008917197452229299
Roslyn,7,0.008917197452229299
Capacitor,6,0.007643312101910828
EventStoreDB,6,0.007643312101910828
Objective-C,6,0.007643312101910828
Zephyr,6,0.007643312101910828
H2,6,0.007643312101910828
Crystal,5,0.006369426751592357
TiDB,5,0.006369426751592357
Quarkus,5,0.006369426751592357
Ktor,5,0.006369426751592357
Xamarin,5,0.006369426751592357
Cordova,4,0.005095541401273885
Ant,4,0.005095541401273885
Ionic,4,0.005095541401273885
RavenDB,3,0.003821656050955414
MFC,3,0.003821656050955414
